KEY,cn,en
Fee,喂养,Feed
Female,女性,Female
Find New,新建,Create
Finish,完成,Complete
Frame rate,帧率,Frame rate
GameCenter,GameCenter,GameCenter
GameHelp,游戏帮助,Help
GameOption,游戏设定,Settings
GameSetting,游戏设置,Settings
Gas Tank,油箱,Fuel Tank
GiftExchange,礼品兑换,Redeem Gift
GooglePlus,GooglePlus,GooglePlus
Graphic quality,画面质量,Graphics quality
GuildActivityPromt,活跃度:,Activity:
GuildApplyJoin,申请加入,Apply to join
GuildAskClaimTitle,请求物品,Request item
GuildBoss,避难所所长,Shelter Admin
GuildBuildMaxLevel,已升至最高等级,Already upgraded to max level
GuildContribution,周活跃度,Weekly Activity
GuildCptial,避难所金库:,Shelter Treasury:
GuildDefaultNotice,欢迎加入避难所，这将是最后的宁静港湾，愿我们携手共创美好家园。,"Welcome to the Shelter, the last safe haven in this apocalyptic world. Let’s build our home together."
GuildDonate,捐献,Donate
GuildDonateTitle,捐献,Donate
GuildEmptyNotice,未查找到该频段号的避难所，请核实后再行搜索,No Shelter of this band No. found. Please verify and try again.
GuildEnergyValue,电量:{0},Power: {0}
GuildExchange,捐赠,Donate
GuildExchangeLack,缺材料,Insufficient materials
GuildExchangeOver,捐满了,Donation is full
GuildExchanged,已捐赠,Already donated
GuildLevel,等级:{0},Level: {0}
GuildMemberPromt,避难所人数:,Shelter Members:
GuildNameEmpty,暂未加入避难所,Haven't joined Shelter yet
GuildNameFormat,避难所#%s,Shelter#%s
GuildPosition,职位,Position
GuildPositionInfomation,1.新加入的成员均为“考核期”成员\n2.在加入避难所后三天未达到{0}点周活跃度将会被自动踢出避难所\n3.在加入避难所后三天内超过{1}点贡献度将会升职为“正式成员”\n4.每周会将本周贡献度最高的玩家评为“副所长”\n5.“副所长”可拥有更改避难所公告的权利\n6.连续三天未登录游戏或周贡献低于{2}的“正式成员”将会被降级为“考核期”成员,1. Newly joined members are in a Probation stage.\n2. New members who haven’t reached {0} Weekly Activity will be automatically removed from the Shelter.\n3. New members who have reached more than {1} Contribution Pts will be promoted to Full Members.\n4. The members with the highest Contribution Pts of the week will be promoted to Deputy Admins.\n5. Deputy Admins are entitled to modify Shelter Notice.\n6. Full Members who have been offline for 3 days or whose Weekly Contribution Pts are lower than {2} will be demoted to Probation.
GuildSearchKeyEmpty,<color=#c5c5c5>频段键入</color>,<color=#c5c5c5>Enter Band</color>
GuildWorkBagSwitchCancelAlert,点击“确认”后，将取消制造。,Tap “OK” to cancel production
GuildWorkBagSwitchCancelTitle,取消工作,Cancel work
Guild_Invite,{0}邀请您加入避难所，该避难所频段号为：{1},{0} is inviting you to join the Shelter. Shelter Band No. is: {1}, the guild frequency band is: {1}
HadSendApply,已发送添加申请,Request already sent
HadSendInvited,已发送邀请,Invitation sent
Hair,发型,Hair
HintInformation,提示信息,Notification
History,历史,History
ID,ID,ID
IllegalName.enterName,请输出你的名字...,Enter your name ...
IllegalName.tooLong,名字太长了,The name is too long.
IllegalName.tooShort,名字太短了,The name is too short.
IllegalName.unchanged,名字未更改,Name is not changed.
Inventory,背包,Inventory
Invitation List,邀请列表,Invitation List
Invite,邀请,Invite
InviteToLocation,{0}邀请你前往{1},{0} is inviting you to {1}
Inviting Players,玩家邀请,Invite Player
Join,加入,Join
JoinGuildAlert,点击确认后，将成为该避难所的考核成员。是否选择加入？,Tap OK to become a Probation Member of this Shelter. Confirm to join?
JoinGuildAlertTitle,申请加入避难所,Apply to join Shelter
LV,等级,LV
Language,语言,Language
LanguageSettingTitle,设置语言,Set Language
LastCount,剩余%d,Remaining %d
LastLoginTime,最后登录时间,Last login
LastPayCount,今日剩余购买次数：%d,Remaining Purchase Times Today: %d
LeaveNeighborContent,点击确认后将退出邻居的家，在冷却时间以前无法再次进入,Tap Confirm to leave the Neighbor's Home. You can’t re-enter until the cooldown is completed.
LeaveNeighborTitle,退出邻居的家,Leave Neighbor's Home
LimiteTimeKickOut,因未在3分钟内抵达副本集合点，您已被系统自动踢出队伍,You are automatically removed from the team for not reaching the Instance Rally Point in 3 minutes.
Loading,加载中,Loading
Login,登录,Login
LoginKgSdkWaiting,正在连接到战场...,Connecting to the battlefield...
Logout,登出,Log out
Maching,加工,Process
MainTaskReward,章节奖励,Chapter Rewards
MainTaskRewardMsg,完成本章节全部任务可获得下列奖励,Complete all tasks in this chapter to get following rewards
MainTaskToggle,主线,Main
Maintenance,维护金:,Maintenance Fee:
Male,男性,Male
Member,成员,Members
ModifyName,修改昵称,Change name
Music,音乐,Music
Name,名称,Name
NameAndLevel,{0} 等级{1},{0} Level {1}
Nearby target display,显示周围玩家,Show nearby players
NoFuelRequired,不需要燃料,No fuel needed
NoQualifiedPlayer,无符合条件的玩家,No qualified players
None,无,None
NotImplemented,未实现,Not implemented
Notice,公告,Notice
Off,关,Off
On Shelf,上架的,Available
Option,设定,Set
OwnCnt,所有量,All quantities
Pack,行囊,Pack
PayEnergyCntUpperLimit,购买体力次数已达上限,Max Energy Purchase times reached
PayMBPassCntUpperLimit,购买门卡次数已达上限,Max Access Card Purchase Times reached
PersonalInfo,个人信息,Personal information
Pocket,口袋,Pocket
Position,位置,Position
Pour On,加油,xxx
Price,价格,Price
Primary,主武器,Primary
Priority attack,攻击优先,Attack Priority
Processing_WorkComplete,加工完成,Production complete
Processing_Working,正在加工{0}……,Producing {0} ...
Purchase Goods,购买商品,Buy items
Purchase,购买,Buy
QuitGuild,退出避难所,Leave Shelter
QuitGuildAlert,确定要退出避难所吗？退出后有一段时间无法加入其他避难所。,Are you sure to leave the Shelter? You can’t join other Shelters for a while after leaving.
QuitGuildAlertTitle,退出避难所,Leave Shelter
RadioTitle,业余无线电,Amateur Radio
Receive,领取,Collect
Received Squad Invitation,收到的队伍邀请,Received Team Invitation
Received,已领取,Collected
RefreshFree,免费刷新,Free Refresh
RefreshGuildList.fmtReset,刷新避难所列表,Refresh Shelter List
RefreshGuildList.reset,刷新避难所列表,Refresh Shelter List
Relive,复活,Respawn
ReloginAlertContent,是否重新尝试登录,Log in again?
ReloginAlertTitle,登陆失败,Login Failed
Remain Amount,剩余数量,Remaining quantity
Remove Black,移除黑名单,Unblock
Remove Friend,移除好友,Remove Friend
Remove,移除,Remove
Repair,修理,Repair
RightMenu.AddBlack,添加黑名单,Block
RightMenu.AddFriend,添加好友,Add Friend
RightMenu.Guild_Invite,避难所邀请,Shelter Invitation
RightMenu.Guild_KickOut,踢出避难所,Remove from Shelter
RightMenu.InviteLocation,邀请至所在地,Invite to current location
RightMenu.PlayerInfo,玩家信息,Player Information
RightMenu.PrivateChat,私聊,Private Chat
RightMenu.RemoveBlack,移除黑名单,Unblock
RightMenu.RemoveFriend,移除好友,Remove Friend
RightMenu.ViewProfile,查看信息,View information
S_Corpse,尸体,Body
S_Inventory,背包,Inventory
S_Processing,加工,Process
S_Storage,储物箱,Storage
S_Transaction,交易,Merchant
Score,分数,Scores
Search,搜索,Search
Secendary,副武器,Secondary
SelectServerContent,你确定要切换服务器吗？,Are you sure to switch the server?
SelectServerTitle,切换服务器,Switch server
Send,发送,Send
Server List,服务器列表,Servers
ServerStatus_Fast,流畅,Smooth
ServerStatus_Hot,爆满,Full
ServerStatus_Preserve,维护,Maintenance
ServerStatus_Slow,繁忙,Busy
Settings,设置,Settings
ShopLimit_GuildShopLevel,自动贩卖机Lv.{0},Vending Machine Lv.{0}
ShopLimit_UserLevel,玩家Lv.{0},Player Lv.{0}
ShopRefreshMax,刷新已达上限,Refresh limit reached
Sneak,潜行,Sneak
SocialAccountSwitchTitle,切换社交账号,Switch social account
SocialBand,绑定,Binding
SocialBandTitle,社交账户绑定,Social account binding
SocialBinded,已绑定,Bound
SocialDisband,解绑,Unbind
SocialUnbind,未绑定,Not bound
SoldOut,售完,Sold out
Sound,音效,Sound Effects
Sources,来源,Source
Split,拆分,Split
Squad List,队伍列表,Team List
Squad,队伍,Team
StageCloseTime,关闭时间,Close Time
StageOpenTime,下次开启时间,Next Open time
Stairs,楼梯,Stairs
Start,开始,Begin
SwitchAccount,切换账户,Switch account
SwitchServer,切换服务器,Switch server
Take All,全部取走,Take All
Target locking,目标锁定,Target locked
TaskFrontChapterUnfinish,完成本章节后开启下一章节,Complete this chapter to unlock the next chapter
TaskReward,任务奖励,Task Rewards
TeamMemberKickOut,您的队员{0}未在3分钟内达到副本与队伍汇合，已被系统自动踢出,Your team member {0} was automatically removed from the team for failing to reach the Instance and rallying with the team within 3 minutes.
TimeLimitedTaskToggle,每日,Daily
Title_Guild,避难所,Shelter
Title_Guild_Finder,频段搜索,Frequency Band Search
TogGuildClaim,捐赠,Donate
TogGuildOverview,概况,Overview
Total Price,总价,Total Price
Total price,总价,Total Price
Trade,交易,Merchant
Trunk,卡车,xxx
Turning,转向,Turn
Unchecked mail,未选中邮件,Unselected Mail
Undefined,未定义,Undefined
Unit Price,单价,Unit-Price
Unit price,单价,Unit-Price
UnknowLogoff,网络连接已断开,Network connection lost
Upstairs,楼上,Upstairs
Use,使用,Use
User name,用户名,Username
UserLevel,玩家等级,Player level
UserName,昵称,Nickname
VK,VK,VK
Volume,音量,Volume
Warning,警告,Warning
Weapon,武器,Weapon
WeaponReload.BulletClip,<color=#C44F01FF>%d</color>/%d,<color=#C44F01FF>%d</color>/%d
WeaponReload.Reload,装填,Reload
Wechat,微信,WeChat
WhosHome,%s的家,%s’s home
X,X,X
YouHaveDied,你已经死了,You Have Died
accept,接收,Receive
account.ask_logout,确认要登出吗？\n（登出后将返回到登录界面）,Confirm to log out?\n(You will be returned to the login screen after logging out.)
account.being_ban,帐号已被冻结,Account has been frozen
account.kick_off,强制离线,Force offline
account.logout,登出,Log out
account.no_service,服务器维护,Server Maintenance
account.other_login,已在其他设备上登录,Already logged in on another device
allow,允许,Allow
alltabs,所有,All
askCancelWork,要取消作业吗？,Do you want to cancel the operation?
askChangeLang,切换语言会重新登录，是否继续？,You will re-log in after switching language. Continue?
askQuitApp,是否要退出游戏？,Do you want to quit the game?
asset_complete,当前地图已准备就绪，关闭弹窗后可正常游戏 ,The current map is ready. Close the pop-up to continue your game. 
attr.attack,攻击,Damage
attr.def,防御,Armor
attr.fast,攻速,Attack Speed
attr.move,移速,Move Speed
audio,音乐,Music
background,背景,background
building.ask_destroy_building,确认要拆除此建筑吗？,Confirm to demolish this building?
building.destroy,拆除,Demolish
building.destroy_building,拆除建筑,Demolish buildings
building.err_level_low,等级太低,Level is too low
building.err_maximum_amount,该建筑已达到建造上限,This building has reached the construction limit
building.err_need_floor_edge,只能建在地板边缘,It can only be built along the edge of the floor
building.err_no_material,材料不足,Insufficient materials
building.err_place_blocked,该位置被阻挡了,This location is blocked
building.err_place_occupied,该位置已有其他建筑,Another item already exists at this location
building.err_wall_occupied,该位置被墙壁隔开了,This location is separated by a wall
building.v.repair,修复,Repair
building.warn_destroy_building,警告：你正在拆除此建筑！\n是否确认？,Warning: You are demolishing this building! \nDo you confirm to demolish?
buymbpass.fmtpay,购买%s,Buy %s
buymbpass.title,购买门卡,Buy Access Card
canEditText,开始工作,Start working
cancelwork,取消工作,Cancel work
chat.apply,申请,Application
chat.applyList,申请列表,Application List
chat.blacklist,黑名单,Block List
chat.ch_guild,避难所,Shelter
chat.ch_nearby,附近,Nearby
chat.ch_private,私聊,Private Chat
chat.ch_team,队伍,Team
chat.ch_world,世界,World
chat.friend,好友,Friends
chat.guildmember,避难所成员,Shelter Members
chat.input_holder,输入文本,Enter text
chat.input_player_holder,输入玩家ID,Enter Player ID
chat.maillist,通讯录,Contacts
chat.noselect,未选,Not selected
chat.search,搜索,Search
chat.stranger,陌生人,Stranger
chat.teammate,队友,Teammates
clan Badge,工会徽章,clan badge
clickToEditGuildDesc,点击修改公会公告...,Tap to modify notice...
color,颜色,color
complete,完成,Complete
contentGuildMemberMax,当前避难所已满员，关闭界面后将会给您推送一个新的避难所。,Current Shelter is full. A new Shelter will be recommended after closing the current interface.
copyOk,已复制到剪切板,Copied to Clipboard
day/night:,日/夜,Day/Night
delete,删除,Delete
downloading,下载中...,Downloading...
edit,编辑,Edit
energy.fmtReset,购买%d体力,Buy %d Energy
energy.reset,购买体力,Buy Energy
exp_bonus,经验加成：,EXP Bonus:
fmtAchieveBuilding,需要建筑：%s,Required building: %s
fmtAskConsumeCost,是否消耗%d<color=%s>%s</color>%s?,Confirm to spend %d <color=%s>%s</color> %s?
fmtAskRequestClaim,点击"确认"后将向避难所其他成员请求{0}个{1}。,Tap OK to request {0} {1} from other Shelter members
fmtAssetDownloading,当前资源正在下载中，已完成{0}，\n暂时无法前往该地图,"Downloading current resource, completed {0}.\nUnable to head to this map yet"
fmtAssetUnpacking,当前资源正在解压缩中，已完成{0}，\n暂时无法前往该地图,"Unpacking current resource, completed {0}.\nUnable to head to this map yet"
fmtBuildingGroupLimit,%s: %s/%d,%s: %s/%d
fmtBuildingGroupNextLimit,等级达到%d后上限提升至%d,Reach Lv. %d to increase limit to %d
fmtBuildingUpgradeLimit,等级达到%d后可升级,Reach Lv.%d to upgrade
fmtChatMsg,<color=%s>%s:</color>%s,<color=%s>%s:</color>%s
fmtClanInfo.IdLv,ID:%d  LV:%d,ID:%d  LV:%d
fmtClanInfo.Members,成员：%d/%d,Members: %d/%d
fmtCnt_Adequate,%d/%d,%d/%d
fmtCnt_Inadequate,<color=red>%d</color>/%d,<color=red>%d</color>/%d
fmtContact,%s\n%s,%s\n%s
fmtDownloadException,下载出现异常,Download Failed
fmtExpire_Day,%s天后失效,Expire in %s days
fmtGuildDonate.addConribution,+%d,+%d
fmtGuildDonate.addExp,建筑经验<color=#34c837>+%d</color>,Building EXP <color=#34c837>+%d</color>
fmtItemBroken,{0}已损坏,{0} is damaged
fmtLevel,等级{0},Level {0}
fmtLevelReq,<color=red>需要等级{0}</color>,<color=red>Required Lv.{0}</color>
fmtLiveTime,生存时长: {0},Survival Time: {0}
fmtLostItem,背包放不下{1}({0}),Backpack can’t fit {1}({0})
fmtLv,等级%d,LV.%d
fmtNotEnoughItem,没有足够的%s,No enough %s
fmtObtainItem,+{0} {1},+{0} {1}
fmtOffline,%s之前,Before %s
fmtRefreshStage,是否使用 {0}个{1} 重置本次副本地图，重置后将无法获得未放入背包的物品，所有敌人与宝箱将会重置并于{2}秒后将您送至地图外。,Want to use {0} {1} to reset the stance map? If so, you can't get the not in your backbag. All the enemy and chest will be reset and you will be sent outside the map in {2} seconds.
fmtRemainingTime,剩余时间\n%s,Time remaining \n%s
fmtReqEmptyFloor,需要%d级地板,Require Lv.%d Floor
fmtRequireFloor,需要: %s(等级%d),Require: %s (Lv.%d)
fmtResiduesCnt,剩余次数:{0}/{1},Remaining times: {0}/{1}
fmtServerName,服务器:%s,Server: %s
fmtServerTab,S%d-S%d,S%d-S%d
fmtShopAsset,当前{0}：,Current {0}:
fmtUnknownError,未知错误[#{0}],Unknown error [#{0}]
fmtWARNING,警告:%s,Warning: %s
fmtWeather,<allcaps>天气</allcaps>:<space=9em>%d<sup>o</sup>F,<allcaps>Weather</allcaps>:<space=9em>%d<sup>o</sup>F
fmtWhisperMsg,<color=%s>发送给%s</color>:%s,<color=%s>TO %s</color>:%s
forbid,禁止,Ban
framerateStandard,标准,Standard
framerateUnlimit,无限制,Unlimited
free4ThisTime,本次免费,This time for free
fuelNotEnoughText,燃料不足,Insufficient fuel
globalMap,世界地图,World Map
goods.input_holder,输入商品名称,Enter item name
graphicQualityHigh,高,High
graphicQualityLow,低,Low
graphicQualityMid,中,Medium
guild.cancel_quit,取消退出避难所,Cancel leaving Shelter
guild.quit,退出,Leave
guild.quit_guild,退出避难所,Leave Shelter
guildChanelID,频段号:{0},Band No.: {0}
haircolor,发色,Hair Color
item.ask_delete_item,是否要删除此道具,Do you want to delete this item?
item.delete_item,删除道具,Delete item
item.sort_out,一键整理,Quick sort
levelup,升级啦！,Level Up!
lockonhit,攻击命中后锁定该目标,Lock on the target on hit
mail,邮件,Mail
mail.ask_delete_all_read,正要删除所有已读邮件。\n是否继续？,You are deleting all read mail.\nDo you want to continue?
mail.ask_receive_all,领取所有携带了附件的邮件。\n注意：领取附件后，邮件将自动删除。\n要继续吗？,Collect all mail with attachments.\nNote: Mail will be automatically deleted after collecting attachments.\nDo you want to continue?
mail.delete_read,删除已读邮件,Delete read mail
mail.receive_all,领取所有附件,Collect all attachments
max production,最大产量,Max output
max,最大,max
min,最小,min
n.GuildBuildTitle,建筑升级,Upgrade
n.GuildRefreshFree,免费刷新,Free Refresh
n.chat,聊天,Chat
n.craft,工艺,Crafting
n.notice,提示,Tips
n.refresh_stage,重置副本,Reset Map
nameAmmo,弹夹,Magazine
nameDura,耐久,Durability
nameRequire,需要,Need
no,否,No
on,开,On
online,在线,Online
options,选项,Options
pattern,图样,pattern
play.fighting,对抗,Competition
play.single,单人,Solo
play.team,组队,Team
player.say_dirty,我脏了,I'm dirty.
player.say_hungry,我饿了,I'm hungry
player.say_thirsty,我渴了,I'm thirsty.
please ener the cdkey,输入CDKEY,Enter CDKEY
prioritytarget,优先目标,Priority Target
quickReply,快速回复,Quick Reply
quit,退出,Leave
random,随机,Random
refresh,刷新,Refresh
rename.change_your_name,更改你的名字,Change your name
rename.first_time_tips,本次改名免费,Change name for free this time
rename.input_holder,输入新的名字,Enter new name
returndefault,恢复默认,Restore Default
save,保存,Save
server.flag_hot,爆满,HOT
server.flag_new,新服,NEW
server.has_role,已创角,Character created
server.recommend,推荐,Recommend
settings.base,基础,Basic
settings.operation,操作,Action
settings.others,其他,Other
shading,底纹,shading
stage.cond,条件：,Conditions:
stage.pvp_enable,PVP对抗,PvP Competition
stage.reward,出产掉落,Production Drop
stage.team_enable,组队地图,Team Map
stage.threat_level,危险程度,Danger Degree
takeIt,拿着,Take
takeall,全部取出,Take All
targetprior.hplowest,血量最少,Lowest HP
targetprior.nearest,距离最近,Nearest
task.mainline,主线,Main
task.none,无任务,No task
task.timelimit,每日,Daily
team.accept,接受,Accept
team.arrive_before_getready,需要到达关卡所在地才能开始战斗,You must reach map location to start battle
team.ask_leave_team,离开队伍后，你将不能返回本房间。\n是否继续？,You won’t be able to return to this room after leaving the team.\nConfirm to continue?
team.auto_match,自动补齐人员,Automatic filling
team.fmt_holdon,{0}需要准备{1}分钟，稍候片刻确定是否加入队伍,{0} needs to prepare for {1} minutes. Hold on to confirm whether joining the team.
team.fmt_invitation,{0}邀请你前往{1}，该地图副本需要使用{2}才能进入,{0} is inviting you to {1}. This map instance requires {2} to enter
team.fmt_kick_member,<color=green>{0}</color> 将会被踢出队伍。\n是否继续？,<color=green>{0}</color> will removed from the squad.\nDo you want to continue?
team.fmt_new_cap,<color=green>{0}</color> 将会成为新队长。\n是否继续？,<color=green>{0}</color> will become new captain.\nDo you want to continue?
team.fmt_refuse,{0} 当前暂时不方便，已拒绝您的邀请,{0} is currently unavailable. Your invitation was declined
team.invitation,组队邀请,Team-up Invitation
team.kick,踢出队伍,Remove from team
team.leave_team,离开队伍,Leave team
team.match,队伍匹配,Match Team
team.player_idle,可邀请,Can be invited
team.player_invited,已邀请,Invited
team.player_refused,已拒绝,Declined
team.please_wait,请稍等,Please wait
team.promote,转让队长,Transfer Captain
team.ready,准备,Prepare
team.recently,最近,Recent
team.refresh_vote,刷新投票,Refresh Vote
team.refuse,拒绝,Decline
team.start,开始,Begin
team.unmatch,取消匹配,Cancel matching
team.unready,取消准备,Cancel Preparation
time.day,天,day(s)
time.fmtLess,< 1 {0},< 1 {0}
time.hour,小时,h
time.min,分,m
time.sec,秒,s
tipAutoEnterStageTeam,倒计时结束后，所有到达地图入口的队伍成员自动进入地图,All team members that have reached the map entrance will enter the map after the countdown is over.
tipConnectFailure,连接失败,Connection failed
tipConnectTimeout,连接超时,Connection timed out
tipConnecting,正在连接,Connecting
tipDropGame,离线通知,Offline notification
tipEntranceUnreachable,无法到达,Cannot reach
tipExitAutoPlayNoPath,目标位置无法到达,Target location unreachable
tipExitAutoPlayNoRes,已经没有资源要收集了,No more resource to collect
tipInventoryFull,背包已满,Backpack is full
tipInventoryUnsel,选中一个道具来查看详细信息,Select an item to view more information
tipLeaveTeam2Move,前往该地图将退出队伍,You will leave your team if heading to this map
tipRecordingTimeShort,录音时间不能少于1秒,Recording time can't be shorter than 1 second
tipReqEmptyGround,需要空地,Space required
tipRetryPatch,重试,retry
tipSendEmptyMsg,无法发送空消息,Can't send an empty message
tipSendToNobody,需要一个发送对象,Send object required
titleGuildMemberMax,人数已满,Full
title_ModifyGuildNotice,修改公告,Modify Notice
total_survive_time,累计生存时间：,Total Survival Time:
travel.drive,驾驶,Drive
travel.run,奔跑,Run
travel.rush_destination,直达终点,Reach the end directly
travel.turn_around,返回起点,Return to start
travel.walk,步行,Walk
unkown,未知,Unknown
unpacking,解压中...,Unpacking...
v.agree,同意,Accept
v.build,建造,Build
v.cancel,取消,Cancel
v.confirm,确认,OK
v.craft,制作,Craft
v.ignore,忽略,Ignore
v.modify,修改,Modify
v.skip,跳过,Skip
v.upgrade,升级,Upgrade
ver.fmt_lower,您的游戏版本过低，\n请下载新版本{0},Your game version is too old.\nPlease update to the latest version {0}
ver.force_update,（本次更新为强制更新，点击取消将关闭游戏客户端）,(This update is mandatory. The game will be closed if you choose cancel.)
ver.new_update,发现新版本，是否要更新？,New version detected. Do you want to update?
ver.recommend_update,（本次更新为非强制更新，点击取消将跳过更新直接开始游戏）,(This update is non-mandatory. You can tap cancel to skip updating)
working.finish,完成作业,Complete operation
working.hasten_finish,立即完成,Complete instantly
yes,是,Yes
